feature,hormone,spearman_rho,p_value,n
egemaps_F1frequency_sma3nz_amean_median,e3g,0.5167487684729063,0.004102933122598165,29
egemaps_F2frequency_sma3nz_amean_median,e3g,0.5118226600985221,0.0045380168753918725,29
egemaps_F3frequency_sma3nz_amean_median,e3g,0.46748768472906393,0.01055630038635432,29
egemaps_HNRdBACF_sma3nz_amean_median,e3g,0.396551724137931,0.03319142909169857,29
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median,e3g,0.3960591133004925,0.03343052782194742,29
egemaps_shimmerLocaldB_sma3nz_amean_median,e3g,-0.2073891625615763,0.2803697053236545,29
egemaps_jitterLocal_sma3nz_amean_median,e3g,0.004926108374384235,0.9797669354078311,29
egemaps_shimmerLocaldB_sma3nz_amean_median,fsh,-0.3424910915208,0.06895835308079144,29
egemaps_HNRdBACF_sma3nz_amean_median,fsh,0.23851178172096,0.2127628609955941,29
egemaps_jitterLocal_sma3nz_amean_median,fsh,-0.17494149279119997,0.3640492673182694,29
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median,fsh,0.15621536116847998,0.41838432444358037,29
egemaps_F3frequency_sma3nz_amean_median,fsh,0.13477886838984,0.4857583932356263,29
egemaps_F1frequency_sma3nz_amean_median,fsh,-0.12861895667183998,0.5060904480143016,29
egemaps_F2frequency_sma3nz_amean_median,fsh,-0.018233338685279998,0.9252060461737945,29
egemaps_jitterLocal_sma3nz_amean_median,lh,0.20777921060856186,0.27944585500335833,29
egemaps_F3frequency_sma3nz_amean_median,lh,0.15973491161206485,0.40784316643121576,29
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median,lh,-0.07107584439172497,0.7140795275613617,29
egemaps_HNRdBACF_sma3nz_amean_median,lh,-0.049777856176783,0.7976192525922754,29
egemaps_shimmerLocaldB_sma3nz_amean_median,lh,0.03863356001780173,0.8422857293497436,29
egemaps_F2frequency_sma3nz_amean_median,lh,0.023774498472493372,0.9025703912577276,29
egemaps_F1frequency_sma3nz_amean_median,lh,-0.0220409412922074,0.9096447800090671,29
egemaps_F2frequency_sma3nz_amean_median,pdg,0.5758620689655172,0.0010798807170136504,29
egemaps_F1frequency_sma3nz_amean_median,pdg,0.5044334975369457,0.005264220242374655,29
egemaps_HNRdBACF_sma3nz_amean_median,pdg,0.4423645320197043,0.016266835983731014,29
egemaps_F3frequency_sma3nz_amean_median,pdg,0.28226600985221667,0.1379297132011148,29
egemaps_shimmerLocaldB_sma3nz_amean_median,pdg,-0.22068965517241376,0.24996802980276261,29
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median,pdg,0.13694581280788173,0.47870649440875596,29
egemaps_jitterLocal_sma3nz_amean_median,pdg,0.05714285714285713,0.7684306031429866,29
