cycle_phase,count,mean,std,median,feature
menstrual,4,32.32701587677002,1.038811126688346,32.22081804275513,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median
follicular,9,33.56321303049723,1.0431229954308572,33.663347244262695,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median
ovulatory,2,33.60886573791504,0.11602858807655084,33.60886573791504,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median
luteal,14,32.87909323828561,1.2636787172661184,33.102633476257324,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median
menstrual,4,0.016406800743425265,0.009203100784736247,0.01226173888426274,egemaps_jitterLocal_sma3nz_amean_median
follicular,9,0.013003352330997586,0.0015294592695584046,0.012546210549771786,egemaps_jitterLocal_sma3nz_amean_median
ovulatory,2,0.016389347321819514,0.0005613009448017685,0.016389347321819514,egemaps_jitterLocal_sma3nz_amean_median
luteal,14,0.014174361247569323,0.0032517117424372484,0.013188540004193783,egemaps_jitterLocal_sma3nz_amean_median
menstrual,4,0.844212394207716,0.17242259179132444,0.7828854694962502,egemaps_shimmerLocaldB_sma3nz_amean_median
follicular,9,0.7494786431392034,0.11795368420110795,0.7320500314235687,egemaps_shimmerLocaldB_sma3nz_amean_median
ovulatory,2,0.7045843601226807,0.03710444170189918,0.7045843601226807,egemaps_shimmerLocaldB_sma3nz_amean_median
luteal,14,0.7287764820669379,0.08848388677713928,0.7017183601856232,egemaps_shimmerLocaldB_sma3nz_amean_median
menstrual,4,8.488037467002869,1.2116821355431175,8.823595404624939,egemaps_HNRdBACF_sma3nz_amean_median
follicular,9,8.858274115456474,1.579544476080713,8.847271919250488,egemaps_HNRdBACF_sma3nz_amean_median
ovulatory,2,10.254141092300415,0.14502730572598635,10.254141092300415,egemaps_HNRdBACF_sma3nz_amean_median
luteal,14,9.487918104444232,0.8699812653825575,9.37839925289154,egemaps_HNRdBACF_sma3nz_amean_median
menstrual,4,622.1213226318359,49.40625696001051,613.0118103027344,egemaps_F1frequency_sma3nz_amean_median
follicular,9,599.4171515570747,52.60062279080282,586.4898681640625,egemaps_F1frequency_sma3nz_amean_median
ovulatory,2,689.8585205078125,38.12028021757421,689.8585205078125,egemaps_F1frequency_sma3nz_amean_median
luteal,14,656.9189801897321,58.72108550899238,679.6146087646484,egemaps_F1frequency_sma3nz_amean_median
menstrual,4,1615.563980102539,26.21094755666071,1613.631103515625,egemaps_F2frequency_sma3nz_amean_median
follicular,9,1595.9995863172744,33.93813660988684,1589.5739135742188,egemaps_F2frequency_sma3nz_amean_median
ovulatory,2,1676.9471435546875,61.155759631078325,1676.9471435546875,egemaps_F2frequency_sma3nz_amean_median
luteal,14,1642.7212175641741,43.254857313532696,1647.8602294921875,egemaps_F2frequency_sma3nz_amean_median
menstrual,4,2768.202178955078,56.85098238857591,2779.1922607421875,egemaps_F3frequency_sma3nz_amean_median
follicular,9,2754.514662000868,95.07495025649816,2767.479736328125,egemaps_F3frequency_sma3nz_amean_median
ovulatory,2,2851.6162109375,19.153513248502506,2851.6162109375,egemaps_F3frequency_sma3nz_amean_median
luteal,14,2802.7702985491073,42.56972522055131,2802.0606079101562,egemaps_F3frequency_sma3nz_amean_median
