feature,label,role,hormone,n,raw_rho,date_partial_rho,feature_drift
dprime_consonant_composite,Consonant composite (mean of 5),composite,pdg,29,-0.075,-0.098,0.295
dprime_consonant_composite,Consonant composite (mean of 5),composite,e3g,29,0.003,-0.043,0.295
dprime_nasality,Nasality (nasal vs oral stop),cycle_privileged,pdg,29,-0.292,-0.337,-0.097
dprime_nasality,Nasality (nasal vs oral stop),cycle_privileged,e3g,29,0.122,0.06,-0.097
dprime_voicing,Voicing (obstruents),cycle_privileged,pdg,29,0.236,0.242,0.33
dprime_voicing,Voicing (obstruents),cycle_privileged,e3g,29,-0.071,-0.082,0.33
dprime_sonorance,Sonorance (sonorant vs obstruent),other_consonant,pdg,29,-0.111,-0.184,0.012
dprime_sonorance,Sonorance (sonorant vs obstruent),other_consonant,e3g,29,0.006,-0.145,0.012
dprime_stridency,Stridency (sibilant vs non-sibilant),other_consonant,pdg,29,-0.081,-0.062,0.302
dprime_stridency,Stridency (sibilant vs non-sibilant),other_consonant,e3g,29,-0.12,-0.088,0.302
dprime_manner,Manner (continuant: fricative vs stop),other_consonant,pdg,29,0.086,0.005,0.144
dprime_manner,Manner (continuant: fricative vs stop),other_consonant,e3g,29,0.268,0.118,0.144
dprime_vowel_height,Vowel height (high vs non-high),geometry_control,pdg,29,-0.199,-0.223,-0.199
dprime_vowel_height,Vowel height (high vs non-high),geometry_control,e3g,29,-0.143,-0.205,-0.199
dprime_vowel_lowness,Vowel lowness (low vs non-low),geometry_control,pdg,29,-0.283,-0.208,0.252
dprime_vowel_lowness,Vowel lowness (low vs non-low),geometry_control,e3g,29,-0.526,-0.397,0.252
dprime_vowel_backness,Vowel backness (back vs front),geometry_control,pdg,29,-0.272,-0.236,0.256
dprime_vowel_backness,Vowel backness (back vs front),geometry_control,e3g,29,-0.254,-0.18,0.256
