feature,feature_label,feature_short_label,story_group,flatness_score,variation_score,period_lag_days_cycle_relevant,period_strength_abs_acf_cycle_relevant,robust_cv,best_any_abs_rho,best_any_hormone,best_any_signal_mode,best_any_lag_days,best_level_abs_rho,best_level_hormone,best_rate_abs_rho
prosody_egemaps_mfcc2_sma3_stddevNorm,MFCC2 variability,MFCC2 var,cycling_signal,0.2636363636363636,0.7363636363636363,15,0.4623963410035728,0.506606939082795,0.6125506537521727,pdg,level,0,0.6125506537521727,pdg,0.3245671075891899
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,H1-H2 (spectral balance),H1-H2,cycling_signal,0.2250000000000001,0.7749999999999999,15,0.3404245726250949,0.3769184174975958,0.5619201748027682,e3g,level,3,0.5619201748027682,e3g,0.34115947155073884
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,F1 bandwidth variability,F1 bw var,cycling_signal,0.7113636363636364,0.2886363636363636,15,0.4452144221222231,0.1246686886346167,0.47735620774711984,e3g,rate_change,0,0.40513263012862744,pdg,0.47735620774711984
prosody_egemaps_mfcc3_sma3_amean,MFCC3 mean,MFCC3 mean,cycling_signal,0.134090909090909,0.865909090909091,14,0.4801893846381778,0.540406980866334,0.4037511528898513,pdg,level,1,0.4037511528898513,pdg,0.26951991130426883
prosody_egemaps_F3frequency_sma3nz_amean,F3 center frequency,F3 freq,geometry_anchor,0.6,0.4,15,0.4011182071914124,0.0172674062717513,0.7056054892859739,pdg,level,0,0.7056054892859739,pdg,0.3819199456033223
prosody_egemaps_F2frequency_sma3nz_amean,F2 center frequency,F2 freq,geometry_anchor,0.5954545454545455,0.4045454545454546,18,0.4260813273814379,0.0240207090265288,0.6750096386921755,pdg,level,0,0.6750096386921755,pdg,0.39992316373368136
prosody_egemaps_F1frequency_sma3nz_amean,F1 center frequency,F1 freq,geometry_anchor,0.5590909090909091,0.4409090909090909,16,0.3605262509975391,0.0651956605347236,0.6455905515827539,e3g,level,0,0.6455905515827539,e3g,0.43316203345548143
prosody_egemaps_shimmerLocaldB_sma3nz_amean,Shimmer local dB,Shimmer,mechanics_anchor,0.7068181818181818,0.2931818181818182,18,0.4118830989319254,0.0715295026260733,0.7551432643437058,e3g,level,3,0.7551432643437058,e3g,0.43686974107063753
prosody_egemaps_loudness_sma3_amean,Loudness mean,Loudness,mechanics_anchor,0.4954545454545455,0.5045454545454545,10,0.347349901475827,0.1966685508633952,0.6595401908130123,e3g,level,3,0.6595401908130123,e3g,0.2512068100817659
prosody_egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,F0 mean (semitone),F0 mean,mechanics_anchor,0.6931818181818181,0.3068181818181818,20,0.2569190100808998,0.0337792015155454,0.344052539476479,pdg,rate_change,0,0.29770070998165327,pdg,0.344052539476479
prosody_egemaps_jitterLocal_sma3nz_amean,Jitter local,Jitter,mechanics_anchor,0.6522727272727273,0.3477272727272726,16,0.3394882852760482,0.1729961769807331,0.33065950746368755,pdg,rate_change,2,0.3208943501627681,pdg,0.33065950746368755
