family,feature,base,n_follicular,n_luteal,cliffs_delta,magnitude,luteal_minus_follicular,mann_whitney_p,cycles_consistent,cycles_total,fdr_q,family_label
geometric_vocal_tract,F1 frequency (vowel openness / front cavity),egemaps_F1frequency_sma3nz_amean,26,21,-0.047619047619047616,negligible,5.534332275390625,0.789103223320353,1,3,0.9652570694976542,Geometric (vocal-tract shape)
geometric_vocal_tract,F2 frequency (tongue advancement / back cavity),egemaps_F2frequency_sma3nz_amean,26,21,-0.14285714285714285,negligible,-1.22930908203125,0.4100395981614826,2,3,0.9652570694976542,Geometric (vocal-tract shape)
geometric_vocal_tract,F3 frequency (lip rounding / fine vocal-tract shape),egemaps_F3frequency_sma3nz_amean,26,21,-0.14652014652014653,negligible,-11.8697509765625,0.39798691649011564,2,3,0.9652570694976542,Geometric (vocal-tract shape)
source_pitch,Mean pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,26,21,0.0695970695970696,negligible,0.08539581298828125,0.6922057616520143,1,3,0.9652570694976542,Source pitch (fold mass/tension)
source_pitch,Median pitch (F0),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,26,21,0.07326007326007326,negligible,0.034549713134765625,0.6764871602580356,1,3,0.9652570694976542,Source pitch (fold mass/tension)
source_pitch,Low pitch (F0 20th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,26,21,0.11355311355311355,negligible,0.22420883178710938,0.5139885523496368,1,3,0.9652570694976542,Source pitch (fold mass/tension)
source_pitch,High pitch (F0 80th pct),egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,26,21,-0.007326007326007326,negligible,0.03653526306152344,0.9743946663750623,1,3,0.9743946663750623,Source pitch (fold mass/tension)
surface_damping,Jitter (pitch perturbation),egemaps_jitterLocal_sma3nz_amean,26,21,-0.11355311355311355,negligible,-0.0002967274049296975,0.5139885523496368,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Shimmer (loudness perturbation),egemaps_shimmerLocaldB_sma3nz_amean,26,21,-0.12087912087912088,negligible,-0.03245854377746582,0.4867822313721888,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Harmonics-to-noise ratio (HNR),egemaps_HNRdBACF_sma3nz_amean,26,21,0.08791208791208792,negligible,0.0741114616394043,0.615067220677711,1,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Alpha ratio (low-vs-high energy balance),egemaps_alphaRatioV_sma3nz_amean,26,21,-0.03663003663003663,negligible,-0.37648820877075195,0.8389152224511103,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Hammarberg index (low-vs-high peak balance),egemaps_hammarbergIndexV_sma3nz_amean,26,21,0.029304029304029304,negligible,0.03020334243774414,0.8724988912675953,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Spectral slope 0-500 Hz,egemaps_slopeV0-500_sma3nz_amean,26,21,-0.0989010989010989,negligible,-0.0012663556262850761,0.570681806588848,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,Spectral slope 500-1500 Hz,egemaps_slopeV500-1500_sma3nz_amean,26,21,-0.02197802197802198,negligible,-0.0015481434820685536,0.9063139756137375,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,H1-H2 (glottal open quotient proxy),egemaps_logRelF0-H1-H2_sma3nz_amean,26,21,0.3333333333333333,medium,1.4099510312080383,0.05280389512061622,2,3,0.9334518482057131,Surface / damping (mucosa & closure)
surface_damping,H1-A3 (glottal source tilt),egemaps_logRelF0-H1-A3_sma3nz_amean,26,21,0.018315018315018316,negligible,0.7618875503540039,0.9232893708238431,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,F1 bandwidth (resonance damping),egemaps_F1bandwidth_sma3nz_amean,26,21,0.03296703296703297,negligible,-2.839111328125,0.8556743817296958,2,3,0.9652570694976542,Surface / damping (mucosa & closure)
surface_damping,F2 bandwidth (resonance damping),egemaps_F2bandwidth_sma3nz_amean,26,21,0.30036630036630035,small,60.80619812011719,0.08116972593093158,3,3,0.9334518482057131,Surface / damping (mucosa & closure)
surface_damping,F3 bandwidth (resonance damping),egemaps_F3bandwidth_sma3nz_amean,26,21,0.2454212454212454,small,89.9908447265625,0.15474524707965928,3,3,0.9652570694976542,Surface / damping (mucosa & closure)
spectral_envelope_mfcc,MFCC1 (overall spectral balance / brightness),egemaps_mfcc1V_sma3nz_amean,26,21,-0.0695970695970696,negligible,0.3466339111328125,0.6922057616520143,1,3,0.9652570694976542,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC2 (low-vs-mid spectral shape),egemaps_mfcc2V_sma3nz_amean,26,21,-0.047619047619047616,negligible,-3.0889732837677,0.789103223320353,1,3,0.9652570694976542,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC3 (mid spectral detail),egemaps_mfcc3V_sma3nz_amean,26,21,-0.03663003663003663,negligible,0.8886260986328125,0.8389152224511103,2,3,0.9652570694976542,Spectral envelope / timbre (MFCC)
spectral_envelope_mfcc,MFCC4 (finer envelope detail),egemaps_mfcc4V_sma3nz_amean,26,21,0.1282051282051282,negligible,1.239114761352539,0.46037357174654714,2,3,0.9652570694976542,Spectral envelope / timbre (MFCC)
